month,count
01/01/2010,1286
01/02/2010,1131
01/03/2010,1139
01/04/2010,1196
01/05/2010,1319
01/06/2010,1199
01/07/2010,1299
01/08/2010,1324
01/09/2010,1215
01/10/2010,1300
01/11/2010,1327
01/12/2010,1215
01/01/2011,1312
01/02/2011,1169
01/03/2011,1335
01/04/2011,1291
01/05/2011,1478
01/06/2011,1302
01/07/2011,1259
01/08/2011,1359
01/09/2011,1308
01/10/2011,1174
01/11/2011,1321
01/12/2011,1428
01/01/2012,1222
01/02/2012,1114
01/03/2012,1271
01/04/2012,1156
01/05/2012,1368
01/06/2012,1323
01/07/2012,1448
01/08/2012,1353
01/09/2012,1384
01/10/2012,1394
01/11/2012,1385
01/12/2012,1550
01/01/2013,1384
01/02/2013,1199
01/03/2013,1368
01/04/2013,1164
01/05/2013,1277
01/06/2013,1321
01/07/2013,1228
01/08/2013,1197
01/09/2013,1230
01/10/2013,1162
01/11/2013,1126
01/12/2013,1262
01/01/2014,1199
01/02/2014,1034
01/03/2014,1065
01/04/2014,987
01/05/2014,1013
01/06/2014,1131
01/07/2014,1054
01/08/2014,1029
01/09/2014,1038
01/10/2014,1055
01/11/2014,1078
01/12/2014,1248
01/01/2015,1113
01/02/2015,835
01/03/2015,1053
01/04/2015,972
01/05/2015,1082
01/06/2015,1095
01/07/2015,1065
01/08/2015,1003
01/09/2015,953
01/10/2015,931
01/11/2015,1110
01/12/2015,1227
01/01/2016,1090
01/02/2016,937
01/03/2016,956
01/04/2016,959
01/05/2016,1020
01/06/2016,1034
01/07/2016,1071
01/08/2016,986
01/09/2016,942
01/10/2016,1000
01/11/2016,973
01/12/2016,1171
01/01/2017,1039
01/02/2017,874
01/03/2017,909
01/04/2017,984
01/05/2017,1029
01/06/2017,889
01/07/2017,1062
01/08/2017,901
